l_english:

 revolution.30.name:0 "The Ideas of [Root.philosopher_dude.GetName]"
 revolution.30.desc:0 "In a thinly-veiled attack on [Root.Monarch.GetTitle] [Root.Monarch.GetName], [Root.philosopher_dude.GetName], a renowned philosopher at the University of [university_town.GetName], has published a treatise protesting against the excesses of absolute rule. Unfortunately, it seems that his work is both very persuasive and very popular among the intelligentsia, who have taken to quoting certain key passages of it whenever they wish to argue against government policies."
 revolution.30.A:0 "Терпимо його."
 revolution.30.B:0 "Заарештуйте його і спаліть його книги!"

 french_revolution.4.robespierre:0 "За часів правління терору безліч французів загинули в ім'я Республіки. No sooner has one threat been eliminated then the next is identified and purged. Нещодавно, [Root.Monarch.GetTitle] Робесп'єр провів особливо жорстоку промову, в якій заперечував і вимагав заарештувати зрадників у Комітетах громадської безпеки та загальної безпеки. Це налякало та викликало обурення серед лідерів Революції, які побоюються ще однієї чистки своїх лав. Already the National Assembly is moving to demand his arrest and curb the worst excesses of his Reign of Terror, returning stability to the realm and ensuring that no one may use the chaos as an excuse to restore the monarchy.\n\nHowever, it seems that Robespierre still has many supporters who will surely seek to protect him if we do not move swiftly."
 french_revolution.4.robespierre.A:0 "Арештуйте Робесп'єра!"
 french_revolution.4.robespierre.B:0 "Терор триватиме. Стережіться вороги народу!"

 french_revolution.301.name:0 "Зрада проти революції"
 french_revolution.301.desc1:0 "[Root.GetEventAdvisorName], [Root.GetUsableName]'s Chief [Root.GetEventAdvisorTitle], has often been critical of the Reign of Terror unleashed by [Root.Monarch.GetTitle] [Root.Monarch.GetName] and the revolutionary government. In the eyes of the Committee of Public Safety, this makes [Root.GetEventAdvisorHerHim] a dangerous reactionary and an Enemy of the People, one that it would be dangerous to leave alive."
 french_revolution.301.desc2:0 "It is not clear what Chief [Root.GetEventAdvisorTitle] [Root.GetEventAdvisorName] did to attract the ire of [Root.Monarch.GetTitle] [Root.Monarch.GetName], but the Committee of Public Safety has nevertheless identified [Root.GetEventAdvisorHerHim] as a potential reactionary. Just in case their suspicions are accurate, they recommend execution by guillotine."
 french_revolution.301.desc3:0 "It seems that one of the members of the Committee of Public Safety overheard [Root.GetEventAdvisorName], [Root.GetUsableName]'s Chief [Root.GetEventAdvisorTitle], making incriminating remarks to a suspected counter-revolutionary. No sooner was this reported then the Committee took the step of branding [Root.GetEventAdvisorHerHim] an Enemy of the People and recommending execution by guillotine."
 french_revolution.301.A:0 "Чергова жертва мадам Гільйотини."
