l_english:
 insult_default:1 "Матір твоя була свиня, а батько смердючий селюк!"
 insult_default2:0 "Настав час небесного суду! Сподвижники самого Сатани топчуть грішну землю - Ой. Ні, це просто [Root.GetAdjective]."
 insult_default3:0 "Ба більше, я вважаю, що [Root.GetCapital.GetName] повинен буди знищений!"
 insult_default4:0 "Коли історія сучасності буде написана нашими нащадками, вони дивитимуться на вас з огидою і співчуттям."
 insult_default5:0 "Мій останній візит у стайні був куди приємніший ніж вечеря з [Root.GetAdjective] послом."
 insult_default6:0 "Гляньте но. Яка ж гарна тут грязюка під ногами."
 insult_default7:0 "Твоя кров зробить землю що ми завоюємо ще родючішою."
 insult_default8:0 "[Root.GetAdjective] Не знає ані гички про керування державою!"
 insult_default9:0 "Найчастіше проблеми стаються з [Root.GetName], і я гадаю що це вина [Root.Culture.GetName]."
 insult_default10:0 "У цій великій грі ти ніхто більший аніж просто пішак."
 insult_default11:0 "У [From.GetName], '[Root.GetName]' є синонімом до слова гній."
 insult_default12:0 "Історії про ваші невдачі ходять по всьому світу; від Ірландії до Китаю. Кажуть, один з імператорів помер, сміючись з них."
 insult_default13:0 "[Root.GetAdjective] культура це якийсь оксюморон, як гадаєте?"
 insult_default14:0 "Хай небо ваше всипиться кометами, а на полюванні вам трапляються лише леви та ведмеді."
 insult_default15:0 "Жодна в світі мапа не буде вважатися досконалою допоки на ній є ваша держава!"
 insult_no_army:0 "І що ти зробиш? Забрудниш мене своєю кров'ю?"
 insult_bookkeeping:0 "Одного дня і [Root.GetAdjective] торговці навчаться рахувати."
 insult_rome:0 "Що ж, схоже моїм арміям варто перевірити, чи справді всі дороги ведуть до Риму."
 insult_heir_hunter:0 "Я чув твій спадкоємець обожнює полювання. Я б на твоєму місці був обережнішим, буде дуже шкода якщо під час одного з них трапиться щось непередбачуване."
 insult_monarchy:1 "Весь твій рід страждає від браку адекватності."
 insult_european_indian:0 "То це тут росте перець й інші пряності? Що ж, схоже ми прибули якраз вчасно щоб зібрати багатий врожай...."
 insult_diamonds:0 "Вони кажуть що діаманти вічні, і я бачу у вас їх багатенько. Дайте нам кілька щоб ми могли порівняти, як довго вони переживуть вашу династію."
 insult_christian_muslim:0 "Неймовірно дивно, як такий безбожник, як ти, має такі багаті й родючі землі? На щастя це не важко виправити."
 insult_against_bahmanis:0 "Скоро всі твої багатства будуть нашими, включно з тим дивним блакитним кріслом яке ти так ретельно оберігаєш."
 insult_against_timurid:0 "З вас би був путній народ, якби ви не були так зациклені на мордуванні один одного за право вважатися спадкоємцем ще більшого вбивці."
 insult_against_deccani:0 "Доки ми будували цивілізацію, ви ховалися в канавах серед Деканських волоцюг. Схиліть коліно або помріть від руки величних нащадків Тимура і Чинґісхана."
 insult_portugal_vs_africa_or_india:0 "Ми подорожували багато, пережили чимало небезпек щоб дістатися ваших берегів, однак ніщо не могло підготувати нас до незліченних гріхів вашого варварського двору."
 insult_against_habsburg:0 "[From.GetAdjective] трон не заслуговує щоб його паплюжила ваша проклята і скалічена династія."
 insult_byz_to_ven:0 "Ви бич світу сього і будете повішані на своїх же мурах за те що зробили!"
 insult_guybrush:0 "Б'єшся як баба!"
 insult_against_guybrush:0 "А ти б'єшся гірше баби'!"
 insult_low_dipadm:0 "В голові у [Root.Monarch.GetName] так само пусто, як у євнуха в штанях."
 insult_pvp:0 "Грати навчися, дно!"
 insult_pvp2:0 "Як можна бути таким нубом?"
 insult_cossack_to_turk:0 "Ти — шайтан турецький, проклятого чорта брат і товариш, самого Люцифера секретар..."
 insult_muslim_truce:0 "Коли наші сини звернуться до минулого, буде відомо всім, що поки ви смикали нас за бороду, ми відтяли вам руки,"
 insult_against_denmark:0 "Вся Данія прогнила, як пірси в Копенгагенському порту."
 insult_against_england:0 "Якщо [Root.Monarch.GetName] впаде в Темзу, це буде біда. Але якщо хтось [Root.Monarch.GetHerHim] витягне звідти, це буде катастрофа."
 insult_marprelate:0 "[Root.Monarch.GetName] пихатий, набундючений, хвалькуватий, простакуватий, смердючий і безбожний узурпатор."
 insult_marprelate2:0 "Ваш [Root.Monarch.GetTitle] незаконний, протиправний, брехливий, мерзенний помикач церквою, намісник самого Диявола, дріб'язковий Папа, антихрист, втілення біса, шахраюватий шельма, і той ще брехун!"
 insult_against_saxony:0 "Буде дуже прикро якщо щось станеться із тою вашою Майсенською порцеляною..."
 insult_fort:0 "Наші гармати знищать ваші мури так само, як море розмиває пісок."
 insult_revolutionary:0 "[Root.Monarch.GetName], ти є єдиною перепоною на нашому шляху до прогресу!"
 insult_monarchy_rank:0 "Це відерце і є тим, що ви називаєте короною у [Root.GetName]?"
 insult_low_adm:0 "В мене є прибережена і ще одна образа для вас, хоча я не певен що ви і цю зможете прочитати..."
 insult_against_gbr:0 "Схоже що сонцю прийшов час сісти над Британською імперією"
 insult_from_arabs:0 "Та щоб тебе зашили заживо в череві верблюда!."
 insult_against_craven:0 "Рекомендую вам змінти колір штанів вашої уніформи на коричневий."
 insult_against_sinner:0 "Чи [Root.Consort.GetName] знає, скільки покоївок побувало у вашому ліжку?"
 insult_against_hre:0 "Цей балаган, що ви називаєте Священною Римською Імперією, не має нічого святого, нічого римського, і навіть не є імперією!"
 insult_against_serbia:0 "У вашого орла дві голови, та на жодній немає корони."
 insult_against_european_in_india:0 "Настав час вам забиратися звідси."
 insult_japanese:0 "Вашу честь не врятує навіть харакірі."
 insult_loans:0 "Нікчемний стан вашоє економіки є гарним прикладом для всіх майбутніх правителів."
 insult_rebels:0 "Чув, що твій народ бунтує. Що ж, у вас є хоча б одна спільна риса."
 insult_low_mil_tech:0 "Ваші солдати вже влучають у сарай хоча б з 10 пострілів, чи вони досі використовують мушкети як дубини?"
 insult_golden_horde_vs_muscovy:0 "Ваші високомірні збирачі податків повинні знати своє місце; під коптами наших коней! "
 insult_wallachia_to_ottomans:0 "Ми всадимо [Root.Monarch.GetName] на кілок, як ми це зробили із вашою жалюгідною армією!"
 insult_barbary_pirates:0 "Ви наводили страх на береги середземномор'я надто довго, кляті пірати!"
